[2026-08-13 01:09:42+00:00] rid=539ef3c8f021 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_verification_required uid=1
[2026-08-13 01:10:02+00:00] rid=92c1838dd878 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_success uid=1
[2026-08-13 01:10:02+00:00] rid=92c1838dd878 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_qr_success uid=1
[2026-08-13 01:10:02+00:00] rid=9b6368bdc8d0 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 reconnaissance_probe method=GET path=/favicon.ico uid=1
[2026-08-13 01:10:05+00:00] rid=748b7211f332 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:10:09+00:00] rid=0fe1444d1737 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:13:04+00:00] rid=13b49195922e ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:14:02+00:00] rid=868c148427b7 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:14:10+00:00] rid=c6426c352701 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 access_activity_viewed uid=1
[2026-08-13 01:14:16+00:00] rid=4e95fd01f108 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:17:17+00:00] rid=b987997415f0 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:31:12+00:00] rid=c69173e328a9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:33:52+00:00] rid=24cc1e637e93 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:36:44+00:00] rid=4bc95d4309e9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:43:57+00:00] rid=4ec53bbf9535 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:50:36+00:00] rid=fbaa0a0ab5a0 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:58:06+00:00] rid=fba37b5b9332 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:58:42+00:00] rid=6d0139b45579 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 02:02:58+00:00] rid=bdabeb6f239c ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 02:06:30+00:00] rid=e850159cd112 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 02:08:16+00:00] rid=a63b8450d59d ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 02:08:29+00:00] rid=5c4949904a10 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 02:24:10+00:00] rid=4a6768f7bb9f ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 logout uid=1
[2026-08-13 02:24:10+00:00] rid=e323ba4c7c80 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=
[2026-08-13 02:45:26+00:00] rid=153436cf793b ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 session_expired reason=idle_timeout uid=0
[2026-08-13 02:45:26+00:00] rid=153436cf793b ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=admin
[2026-08-13 02:45:26+00:00] rid=153436cf793b ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 csrf_validation_failed method=POST path=/login.php uid=0
[2026-08-13 02:45:41+00:00] rid=37794768783f ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=
[2026-08-13 02:45:44+00:00] rid=2b2f54447678 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=admin
[2026-08-13 02:45:45+00:00] rid=2b2f54447678 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_attempt recorded user=admin success=1
[2026-08-13 02:45:45+00:00] rid=2b2f54447678 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 password_factor_success uid=1 ip=::1
[2026-08-13 02:45:45+00:00] rid=2b2f54447678 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_verification_required uid=1
[2026-08-13 02:45:57+00:00] rid=28d93003c374 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_success uid=1
[2026-08-13 02:45:57+00:00] rid=28d93003c374 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_qr_success uid=1
[2026-08-13 02:46:00+00:00] rid=47c2df3c5267 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 02:46:14+00:00] rid=4053b486cd45 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_controls_viewed uid=1
[2026-08-13 02:46:43+00:00] rid=04a5231469cd ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 threat_center_viewed uid=1
[2026-08-13 02:47:42+00:00] rid=f33f69cd508e ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_manage_access uid=1
[2026-08-13 02:47:47+00:00] rid=18ea2e135378 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 user_management_access uid=1
[2026-08-13 02:47:50+00:00] rid=44878c54ceef ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 user_management_access uid=1
[2026-08-13 02:47:55+00:00] rid=2e678e59de91 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_manage_access uid=1
[2026-08-13 02:54:13+00:00] rid=87fe648cbda9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_manage_access uid=1
[2026-08-13 02:54:21+00:00] rid=c9ffa1e017e1 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 ai_threat_intelligence_viewed uid=1
[2026-08-13 03:00:20+00:00] rid=e2e2c3bcc81d ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 user_management_access uid=1
[2026-08-13 03:02:15+00:00] rid=d1ba7a1a2dc6 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 ai_threat_intelligence_viewed uid=1
[2026-08-13 03:02:15+00:00] rid=209c0fc42c22 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 csp_violation_reported directive=script-src-elem blocked=inline document=http://localhost/ai_threat_intelligence.php uid=1
[2026-08-13 03:02:22+00:00] rid=6be09faab008 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 ai_threat_intelligence_viewed uid=1
[2026-08-13 03:02:22+00:00] rid=d90b873eee0d ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 csp_violation_reported directive=script-src-elem blocked=inline document=http://localhost/ai_threat_intelligence.php uid=1
[2026-08-13 03:05:27+00:00] rid=1bbe07e79577 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 user_management_access uid=1
[2026-08-13 03:05:57+00:00] rid=c99428e45b3d ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 user_personal_id_reset actor_uid=1 target_uid=2 target=reojohn
[2026-08-13 03:05:59+00:00] rid=9adc3fabf3ee ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 user_management_access uid=1
[2026-08-13 03:06:05+00:00] rid=ebe6a4ddf40d ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 logout uid=1
[2026-08-13 03:06:06+00:00] rid=258466918d12 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=
[2026-08-13 03:06:09+00:00] rid=6e1c8a4e63a9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=reojohn
[2026-08-13 03:06:11+00:00] rid=6e1c8a4e63a9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_attempt recorded user=reojohn success=1
[2026-08-13 03:06:12+00:00] rid=6e1c8a4e63a9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 password_factor_success uid=2 ip=::1
[2026-08-13 03:06:12+00:00] rid=6e1c8a4e63a9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_enrollment_required uid=2
[2026-08-13 03:06:48+00:00] rid=64bf6fb7de5c ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_qr_registered uid=2
[2026-08-13 03:06:58+00:00] rid=537e7144f246 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_success uid=2
[2026-08-13 03:06:58+00:00] rid=537e7144f246 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_qr_success uid=2
[2026-08-13 03:07:01+00:00] rid=a11fd6a53dd8 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=2
[2026-08-13 03:07:06+00:00] rid=3ccf47ba351e ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 user_management_access uid=2
[2026-08-13 03:09:32+00:00] rid=d0620f60d714 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 ai_threat_intelligence_viewed uid=2
[2026-08-13 03:09:32+00:00] rid=8d27269279bc ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 csp_violation_reported directive=script-src-elem blocked=inline document=http://localhost/ai_threat_intelligence.php uid=2
[2026-08-13 03:12:50+00:00] rid=c84c7c36de23 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 ai_threat_intelligence_viewed uid=2
[2026-08-13 03:12:50+00:00] rid=c7b3f51d7c5f ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 csp_violation_reported directive=script-src-elem blocked=inline document=http://localhost/ai_threat_intelligence.php uid=2
[2026-08-13 03:15:21+00:00] rid=936dc61c85c4 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 ai_threat_intelligence_viewed uid=2
[2026-08-13 03:15:21+00:00] rid=3569a5692821 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 csp_violation_reported directive=script-src-elem blocked=inline document=http://localhost/ai_threat_intelligence.php uid=2
[2026-08-13 03:15:26+00:00] rid=18f209bf5cfe ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 ai_threat_intelligence_viewed uid=2
[2026-08-13 03:15:27+00:00] rid=91fa29567843 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 csp_violation_reported directive=script-src-elem blocked=inline document=http://localhost/ai_threat_intelligence.php uid=2
[2026-08-13 03:18:35+00:00] rid=8da65d6905de ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 ai_threat_intelligence_viewed uid=2
[2026-08-13 03:18:35+00:00] rid=bf62db1e48d3 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 csp_violation_reported directive=script-src-elem blocked=inline document=http://localhost/ai_threat_intelligence.php uid=2
[2026-08-13 03:22:56+00:00] rid=ac6f4978c785 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 auth_rejected reason=security_schema_incomplete uid=2
[2026-08-13 03:22:58+00:00] rid=08ba364a2906 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 auth_rejected reason=incomplete_primary_auth uid=0
